date,time,counter
2017.03.26,03:00:03,47083475
2017.03.26,04:00:03,46852978
2017.03.26,05:00:03,48001319
2017.03.26,06:00:03,56184701
2017.03.26,07:00:03,70567686
2017.03.26,08:00:03,85553465
2017.03.26,09:00:02,90415493
2017.03.26,10:00:03,94704267
2017.03.26,11:00:03,95800767
2017.03.26,12:00:02,90900508
2017.03.26,13:00:03,90563033
2017.03.26,14:00:03,92381345
2017.03.26,15:00:02,93012110
2017.03.26,16:00:03,94453966
2017.03.26,17:00:03,94296097
2017.03.26,18:00:03,93931577
2017.03.26,19:00:02,87413167
2017.03.26,20:00:03,81754244
2017.03.26,21:00:03,73305056
2017.03.26,22:00:03,61647749
2017.03.26,23:00:03,53864152
2017.03.27,00:00:02,49594806
2017.03.27,01:00:03,47262510
2017.03.27,02:00:03,46401386
2017.03.27,03:00:02,45667261
2017.03.27,04:00:03,45492646
2017.03.27,05:00:02,47381333
2017.03.27,06:00:03,58384124
2017.03.27,07:00:03,77528884
2017.03.27,08:00:02,89629589
2017.03.27,09:00:03,90469436
2017.03.27,10:00:02,92722725
2017.03.27,11:00:03,93914652
2017.03.27,12:00:03,86288496
2017.03.27,13:00:03,85051311
2017.03.27,14:00:02,88086794
2017.03.27,15:00:03,88854330
2017.03.27,16:00:02,91184581
2017.03.27,17:00:03,93159046
2017.03.27,18:00:03,92725417
2017.03.27,19:00:02,87064038
2017.03.27,20:00:03,81648908
2017.03.27,21:00:03,73636716
2017.03.27,22:00:03,62553599
2017.03.27,23:00:02,54636313
2017.03.28,00:00:03,49737361
2017.03.28,01:00:03,47667433
2017.03.28,02:00:03,46061863
2017.03.28,03:00:03,45726515
2017.03.28,04:00:02,46229543
2017.03.28,05:00:02,47849179
2017.03.28,06:00:03,59007625
2017.03.28,07:00:03,77616787
2017.03.28,08:00:03,91010099
2017.03.28,09:00:03,92370178
2017.03.28,10:00:03,93311462
2017.03.28,11:00:02,93490874
2017.03.28,12:00:03,87033946
2017.03.28,13:00:03,85022267
2017.03.28,14:00:02,87247302
2017.03.28,15:00:02,88983586
2017.03.28,16:00:03,91085195
2017.03.28,17:00:03,93799302
2017.03.28,18:00:02,92242417
2017.03.28,19:00:02,86905880
2017.03.28,20:00:03,81827682
2017.03.28,21:00:02,72945282
2017.03.28,22:00:02,62944721
2017.03.28,23:00:03,54145954
2017.03.29,00:00:03,49513311
2017.03.29,01:00:03,47321588
2017.03.29,02:00:02,46824743
2017.03.29,03:00:03,45895635
2017.03.29,04:00:03,45914517
2017.03.29,05:00:03,48357119
2017.03.29,06:00:02,58628166
2017.03.29,07:00:03,76817915
2017.03.29,08:00:03,90252129
2017.03.29,09:00:03,91586781
2017.03.29,10:00:03,93301051
2017.03.29,11:00:02,94621812
2017.03.29,12:00:02,87746637
2017.03.29,13:00:03,86279290
2017.03.29,14:00:03,88093059
2017.03.29,15:00:03,88868273
2017.03.29,16:00:03,91740058
2017.03.29,17:00:03,93698678
2017.03.29,18:00:03,92577172
2017.03.29,19:00:03,87137570
2017.03.29,20:00:03,82186688
2017.03.29,21:00:03,73704998
2017.03.29,22:00:03,63095503
2017.03.29,23:00:02,54930704
2017.03.30,00:00:02,50865777
2017.03.30,01:00:02,48106314
2017.03.30,02:00:02,46947994
2017.03.30,03:00:02,45994839
2017.03.30,04:00:03,46395034
2017.03.30,05:00:03,48832748
2017.03.30,06:00:03,58202088
2017.03.30,07:00:03,75149899
2017.03.30,08:00:02,87299840
2017.03.30,09:00:02,87159542
2017.03.30,10:00:02,88171720
2017.03.30,11:00:02,89859054
2017.03.30,12:00:02,84530998
2017.03.30,13:00:02,80701031
2017.03.30,14:00:03,81190505
2017.03.30,15:00:03,81273902
2017.03.30,16:00:03,83996587
2017.03.30,17:00:03,87806779
2017.03.30,18:00:03,87771748
2017.03.30,19:00:03,82509250
2017.03.30,20:00:03,78699251
2017.03.30,21:00:03,71416808
2017.03.30,22:00:02,61175971
2017.03.30,23:00:03,54050592
2017.03.31,00:00:03,50093304
2017.03.31,01:00:03,47240986
2017.03.31,02:00:03,46748281
2017.03.31,03:00:03,46101982
2017.03.31,04:00:03,45982876
2017.03.31,05:00:02,48193116
2017.03.31,06:00:03,58563313
2017.03.31,07:00:03,75397530
2017.03.31,08:00:03,88577789
2017.03.31,09:00:02,89597994
2017.03.31,10:00:03,92428337
2017.03.31,11:00:02,94108765
2017.03.31,12:00:02,88497378
2017.03.31,13:00:02,87243357
2017.03.31,14:00:03,88440827
2017.03.31,15:00:03,90431583
2017.03.31,16:00:03,92504192
2017.03.31,17:00:03,94415407
2017.03.31,18:00:03,93621628
2017.03.31,19:00:02,87801667
2017.03.31,20:00:02,82693667
2017.03.31,21:00:03,74678353
2017.03.31,22:00:03,64600861
